BOMET,Kisii Rd KFA Building,736888224
GILGIL,Chania Plaza - Old Nairobi - Nakuru road,734888564
KAPENGURIA,Makutano - Next to Toror Chemist near KCB  Lelan Street,0708-579577/0723-676757
KAPSABET,Main street -Lessos Building,739349303
KABARNET,Corner Hse - Ground Floor-Chelangat Rd.,0724-583864
ONGATA RONGAI,Kobil Petrol Station opposite KCB,0733-478774
KITENGELA,Next to Naivasha - Paws Petrol Station,0733-234409
NGONG,Near Barclays Bank,0732-478790/0732-478790
NAIVASHA,Viewers park along Moi Rd,733234012
NAKURU,Kinamba Building  opp Westside mall,732234523
NAKURU CBD,Moses Mudavadi road Opp IEBC,Not Specified
ELDAMARAVINE,Eldoret rd Opp Chemtany Chemist,734888622
KERICHO,Nakuru -Kericho Highway A jiwa Shamji Building,732349314
NANYUKI,Kimathi St Kioo Building,733234414
NAROK,Batian House Kisii-Nairobi Road,733478787
NANDI HILLS,Alpha Tai Building along HenryKosgei street,736888238
KAJIADO,Simba Center Opp KCB,736888297
ELDORET,Co-op bank,736888213/ 736888264/ 732349268
ELDORET,Stadium View Bldg Elijah Chelagat Street,736888213/ 736888264/ 732349268
ELDORET,Equity Bank-Kapsowar,736888213/ 736888264/ 732349268
ELDORET,Next to Pauls Bakery,736888213/ 736888264/ 732349268
ELDORET,Outside Uchumi Bldg Opp. KCB – Marigat,736888213/ 736888264/ 732349268
SOTIK,Off Kisii - Kericho Highway Nyati House,736888286
ITEN,At the Co-op bank,0728-106675
LITEIN,Shopping Center,52542217/0723-124213
LOKICHOGIO,Shopping Center,0725-757269
LOITOKITOK,Ledada House Loitoktok illasit Rd,733478792
LODWAR,Lokiriama bld next to tumaini medical clinic,735579509
MOIS BRIDGE,Chera travellers building opp KCB,736888376
KAPENGURIA,Makutano main street next to Toror chemist,732579510
MOLO,Molo Kericho rd Opp faulu kenya,736888319
LIMURU,Opp Manga Hotel Next to Town primary,733425848
KAPSOWAR,At the Equity Bank,0729-433998
KABARNET,Stadium View Bldg Elijah Chelagat Street.,736888264
NAMANGA,Near Equity Bank,Not Specified
NAIVASHA,Viewers park along Moi Rd,733234012
NJABINI,opp Tulaga Service station,734888631
HOMABAY,Sonyacco Plaza Coop Bank Building,733349279
MBITA,Mbita Road Opposite Police Station,736888245
AWENDO,NBK Building Kisii –Isebania -Rd,734888937
BONDO,Bondo-Usenge road opp Equity Bank,736888403
UGUNJA,Luanda-Busia road,Not Specified
LUANDA,Kisumu-Busia Road,736888410
SIAYA,Shopping Center,736888354
TIVOLI,Opposite Tivoli Centre,Not Specified
RONGO,Behind Municipal Mkt  off Rongo- Homabay road,736888442
OGEMBO,Next to Ogembo law Courts opp. Wakenya Pamoja Sacco,736888437
OYUGIS,Along Kisii-Kisumu Highway  opp. Posta,736888453
MIGORI,Nyasare Road Near Post office,733478704
KEHANCHA,Opp Co-op ATM,734888914
KISUMU,Nakumatt Megacity,732349374
KISUMU,Awoli House Behind Barclays,736888422
OBOTE,Obote Road,736888311
KISII,Sansora Complex  Sansora road off hosp.road,731349347
KILGORIS,Next to Equity Bank Opp. KWFT,734888987
KEROKA,Along Kisii-Nairobi Highway off Masimba junction,736888051
NYAMIRA,Next to Family Bank,736888423
BUNGOMA,Bungoma -Mumias Rd Opp Coast Bus,733349230
MALABA,Tassia Building Next Tassia Supermarket Opp OilLibya,736888465
BUSIA,Kampala street opp Equity Bank,733349237
KITALE,Lulu hse Moi avenue opp law courts,732349374
KAKAMEGA,Kotecha Plaza opp. Kakamega Primary.,734349280
KIMILILI,Kamusinga Plaza Near main stage,736888342
WEBUYE,Moi Avenue Opp KPLC Office,735570599
BUTERE,Butere Corner near Airtel Booster,734888665
MUMIAS,Lumino Road behind Barclays Bank,731478808
MBALE,Mbale-Kakamega Road,736888385
KIMILILI,Kamusinga Plaza Near main stage,736888342
EMBU,Kimjoy Building - Haile selassie road,733349271
CHUKA,Next to Gulf Energy,736888148
ATHI RIVER,Chaster acade-Opp Athiriver Mining,0729-705959/0733-234508
ATHI RIVER,Chaster acade-Opp Athiriver Mining,0729-705959/0733-234508
ISIOLO,Marsabit rd Moti Pearl hotel BLDG,736888369
MERU,Kenyatta Highway Mohammed moti BLDG opp Meru Police station,733478701
MAUA,Opp Barclays Maua Robins BLDG,736888356
NKUBU,off Nkubu Embu rd Central plaza,734888978
