GILGIL,Chania Plaza - Old Nairobi - Nakuru road,734888564
ONGATA RONGAI,Kobil Petrol Station opposite KCB,0733-478774
KITENGELA,Next to Naivasha - Paws Petrol Station,0733-234409
NGONG,Near Barclays Bank,0732-478790/0732-478790
NAKURU,Moses Mudavadi road Opp IEBC,Not Specified
NANDI HILLS,Alpha Tai Building along HenryKosgei street,736888238
SOTIK,Off Kisii - Kericho Highway Nyati House,736888286
LITEIN,Shopping Center,52542217/0723-124213
LOITOKITOK,Ledada House Loitoktok illasit Rd,733478792
MOIS BRIDGE,Chera travellers building opp KCB,736888376
NAMANGA,Near Equity Bank,Not Specified
HOMABAY,Sonyacco Plaza Coop Bank Building,733349279
MBITA,Mbita Road Opposite Police Station,736888245
AWENDO,NBK Building Kisii –Isebania -Rd,734888937
BONDO,Bondo-Usenge road opp Equity Bank,736888403
LUANDA,Kisumu-Busia Road,736888410
RONGO,Behind Municipal Mkt  off Rongo- Homabay road,736888442
OYUGIS,Along Kisii-Kisumu Highway  opp. Posta,736888453
KEHANCHA,Opp Co-op ATM,734888914
OBOTE,Obote Road,736888311
KILGORIS,Next to Equity Bank Opp. KWFT,734888987
MALABA,Tassia Building Next Tassia Supermarket Opp OilLibya,736888465
MUMIAS,Lumino Road behind Barclays Bank,731478808
MBALE,Mbale-Kakamega Road,736888385
ATHI RIVER,Chaster acade-Opp Athiriver Mining,0729-705959/0733-234508
ATHI RIVER,Chaster acade-Opp Athiriver Mining,0729-705959/0733-234508
MAUA,Opp Barclays Maua Robins BLDG,736888356
NKUBU,off Nkubu Embu rd Central plaza,734888978
EMALI,Opposite Posta bulding,732234504
KITENGELA,Paws LTD service LTD,733234409
MOMBASA,Off Nyerere Rd next to Nakumatt Likoni / Cinemax Complex,733478706 / 734888791
MTWAPA,Kobil Petrol Station,734888677
MARIAKANI,Opposite Police Station,734888742
NYALI,Gupta’s Complex behind Nakumatt Nyali,734888708
DIANI,Barclays Shopping Center along beach road,731349247
